가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
첨단산업3로,36.982059,127.819378,36.999372,127.837994,은행나무,527,3,,은행나무길,첨단산업3로,시도,기아자동차~첨단산업9로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업4로,36.985317,127.831385,36.988635,127.824429,왕벚나무,125,0,,왕벚나무길,첨단산업4로,시도,본교1리사거리~도담다담공원,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업5로,36.956569,127.833924,36.990137,127.826521,느티나무,121,0,,느티나무길,첨단산업5로,시도,본리천교~첨단산업3로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업6로,36.994833,127.830006,36.991379,127.837183,은행나무+느티나무,270,0,,"은행나무,느티나무길",첨단산업6로,시도,투에이치~첨단산업로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업7로,36.996917,127.837198,36.995184,127.840688,은행나무+이팝나무,115,0,,"은행나무,이팝나무길",첨단산업7로,시도,첨단산업로~첨단산업3로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업8로,36.998323,127.839383,36.998068,127.841826,이팝나무,81,0,,이팝나무길,첨단산업8로,시도,첨단산업1로~첨단산업3로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업9로,36.9996726,127.8362757,36.9990359,127.8410836,이팝나무+은행나무,171,0,,"이팝나무,은행나무길",첨단산업9로,시도,첨단산업로~기업도시삼거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단산업10로,36.9854745,127.8307894,36.9854745,127.8307894,왕벚나무+이팝나무,246,1,,"왕벚나무,이팝나무길",첨단산업10로,시도,유한킴벌리~첨단산업로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단쉼터2길,36.984615,127.8279301,36.9862701,127.8291401,왕벚나무,35,0,,왕벚나무길,첨단쉼터2길,시도,첨단산업1로~첨단산업3로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
첨단쉼터5길,36.9860601,127.824858,36.987649,127.826126,왕벚나무,35,0,,왕벚나무길,첨단쉼터5길,시도,첨단산업1로~첨단산업3로,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
기업도시로,37.027555,127.829926,36.998068,127.841826,메타세콰이어+왕벚나무,1179,5,,"메타세콰이어,왕벚나무길",기업도시로,시도,탄금대로~기업도시삼거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
기업도시1로,36.9934078,127.7995087,36.9934078,127.7995087,느티나무+이팝나무,543,1,,"느티나무,이팝나무길",기업도시1로,시도,기업도시2로~기업도시삼거리,043-850-8542,충청북도 충주시,2020-06-30,4390000,충청북도 충주시
연미로,35.173679,129.092114,35.172927,129.091967,왕벚나무,20,0.09,2012,벚나무가 터널식으로 조성되어있어 아름다운 벚꽃길을 볼 수 있음,연미로,지방도,연산우체국~동덕현대아파트,051-665-4531,부산광역시 연제구청,2020-07-24,3370000,부산광역시 연제구
수영로 587번길,35.158596,129.111131,35.158408,129.112339,느티나무,15,240,,느티나무길,수영로 587번길,구도,협성엠파이어A단지 일원,051-610-4531,수영구청,2020-01-29,3380000,부산광역시 수영구
동수영중 앞,35.164146,129.106556,35.165247,129.104678,왕벚나무,32,100,,왕벚나무길,동수영중 앞,구도,동수영중학교 진입로,051-610-4531,수영구청,2020-01-29,3380000,부산광역시 수영구
좌수영로,35.166203,129.124851,35.182326,129.115298,"왕벚나무, 느티나무",544,2160,,"왕벚나무, 느티나무길",좌수영로,광역시도,수영교~연제구경계,051-610-4531,수영구청,2020-01-29,3380000,부산광역시 수영구
은해사 벚꽃길,35.993107,128.801747,36.005945,128.812536,왕벚나무,428,1.7,,청통로,청통로,,치일리262-6~계포리 243-6,,,2020-06-26,5100000,경상북도 영천시
패밀리마트(무양중앙점)~축협사거리,36.418434,128.155075,36.418890,128.159170,감나무,70,400,,양쪽에 감나무가 식재되어 있어 가을이되면  가을 정취를 흠씬 느낄 수 있음,,,패밀리마트(무양중앙점)~축협사거리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
패밀리마트(무양중앙점)~버스터미널,36.418434,128.155075,36.418410,128.153260,감나무,55,300,,양쪽에 감나무가 식재되어 있어 가을이되면  가을 정취를 흠씬 느낄 수 있음,,,패밀리마트(무양중앙점)~버스터미널,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
축협사거리~복룡지하차도,36.418875,128.159095,36.419000,128.163530,감나무,87,300,,양쪽에 감나무가 식재되어 있어 가을이되면  가을 정취를 흠씬 느낄 수 있음,,,축협사거리~복룡지하차도,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
상락유치원~상주원예농협,36.418972,128.173771,36.418130,128.152560,감나무,49,200,,양쪽에 감나무가 식재되어 있어 가을이되면  가을 정취를 흠씬 느낄 수 있음,,,상락유치원~상주원예농협,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
상주보~상하수도사업소,36.435432,128.246033,36.436390,158.239740,이팝나무,160,1000,2014,이팝나무가 양쪽으로 식재,,,상주보~상하수도사업소,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
모서삼포순환로,36.350466,127.955244,36.341710,127.966020,은행나무,270,2500,2014,가을이면 도로를 따라 은행잎이 예쁘게 물들어 아름다운 길,,,모서삼포순환로,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
계산동 메타세콰이어,36.432818,128.158517,36.432740,128.149970,메타세쿼이아,77,1000,,쭉쭉뻗은 메타세콰이어 나무가 보기만 해도 시원하여 기분이 좋아짐,,,계산동,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
세천~봉강교,36.395325,127.940802,36.470160,128.141860,회화나무,370,2500,2014,한여름 나비모양의 연노랑 꽃이 시간차를 두고 피어 아름다운 길,,,세천~봉강교,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
상주곶감공원진입로,36.369745,128.104497,36.374990,128.104530,감나무,55,550,2014,곶감공원 으로 가는 진입로에 심어 공원이미지랑 잘 어울림,,,상주곶감공원진입로,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
외서 우산재,36.485649,128.088803,36.486820,128.080860,왕벚나무,108,4000,2011,봄이면 하얀 벚꽃이 만개하여 아름다운 경치를 이룸,,,외서 우산재,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
중동면 우물리,36.402435,128.317067,36.404060,128.316980,회화나무,25,500,2014,한여름 나비모양의 연노랑 꽃이 시간차를 두고 피어 아름다운 길,,,중동면 우물리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
함창 구향,36.568468,128.176679,36.565450,128.180100,소나무(조형),74,1000,2012,잘 가꿔진 소나무가 보기 좋은 길임,,,함창 구향,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
홍제천변길,37.579659,126.936110,37.568061,126.917421,"은행, 양버즘, 느티, 왕벚,",446.00,02.16,,은행 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,홍제천변길,구도로,홍제천변길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
거북골길,37.575093,126.917893,37.581555,126.926884,"은행, 양버즘, 느티, 대왕참, 중국단풍",268.00,02.35,,은행 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,거북골길,구도로,거북골길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
현대아파트길,37.573864,126.919379,37.575131,126.921541,왕벚,52.00,00.22,,왕벚 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,현대아파트길,구도로,현대아파트길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
수색로(가재울뉴타운 내),37.576539,126.911273,37.572372,126.914706,왕벚,136.00,00.82,,왕벚 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,수색로(가재울뉴타운 내),구도로,수색로(가재울뉴타운 내),02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
가재울미래로,37.570055,126.918494,37.572389,126.914851,이팝,47.00,00.55,,이팝 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,가재울미래로,구도로,가재울미래로,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
독립문로 14길,37.566266,126.959488,37.567023,126.964145,왕벚,46.00,00.50,,왕벚 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,독립문로 14길,구도로,독립문로 14길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
북아현로,37.557625,126.956313,37.568953,126.949425,이팝,36.00,00.45,,이팝 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,북아현로,구도로,북아현로,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
북아현로1길,37.558961,126.956527,37.560738,126.953201,느티,60.00,00.28,,느티 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,북아현로1길,구도로,북아현로1길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
북아현로1가길,37.557264,126.952016,37.558973,126.953341,느티,32.00,00.23,,느티 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,북아현로1가길,구도로,북아현로1가길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
이화여대2다길,37.557523,126.948733,37.558786,126.947896,느티,25.00,00.27,,느티 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,이화여대2다길,구도로,이화여대2다길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
신촌로35길,37.557477,126.955310,37.558863,126.955052,느티,11.00,00.14,,느티 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,신촌로35길,구도로,신촌로35길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
신촌로27길~33길,37.557489,126.948749,37.557864,126.955277,느티,55.00,00.58,,느티 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,신촌로27길~33길,구도로,신촌로27길~33길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
통일로42길,37.591541,126.941437,37.593186,126.941947,은행,07.00,00.10,,은행 가로수가 식재되어 있어 가을철 아름다운 단풍을 느낄 수 있음,통일로42길,구도로,통일로42길,02-330-1963,서대문구청 푸른도시과,2019-01-02,3120000,서울특별시 서대문구
국도19호선 은행나무길,37.491102,127.990187,37.572669,128.133595,은행나무,875,17.1,1985,은행나무,태기로,국도,횡성읍상~청일유동,033-340-2415,강원도 횡성군,2019-07-15,4260000,강원도 횡성군
군도6호선 산벚나무길,37.496811,127.991905,37.565157,128.110627,산벚나무,2500,18.4,1996,산벚나무,섬강로,군도,횡성북천~갑천율동,033-340-2415,강원도 횡성군,2019-07-15,4260000,강원도 횡성군
종합운동장 가로수길,37.495549,127.982344,37.495549,127.990861,왕벚나무외 4종,235,0.75,2016,명품띠녹지,문화체육로,도시계획도로,원흥아파트~게이트볼협회,033-340-2415,강원도 횡성군,2019-07-15,4260000,강원도 횡성군
종합운동장 가로수길(종속),37.499234,127.989670,37.495540,127.989638,느티나무,41,0.41,2010,느티나무,문화체육로,도시계획도로,함밭식당~실내체육관,033-340-2415,강원도 횡성군,2019-07-15,4260000,강원도 횡성군
군도16호선 이팝나무길,37.495736,127.979180,37.465965,127.944502,이팝나무,503,4.3,2007,이팝나무,광학로,군도,횡성갈풍~횡성반곡,033-340-2415,강원도 횡성군,2019-07-15,4260000,강원도 횡성군
문예로 왕벚나무길,37.494655,127.981096,37.483503,127.981361,왕벚나무,350,4.5,2003,왕벚나무,문예로,도시계획도로,횡성교~전천교,033-340-2415,강원도 횡성군,2019-07-15,4260000,강원도 횡성군
기아자동차로,37.050278,126.768056,37.051111,126.769722,매화나무,221,1.6,,매화나무,기아자동차로,,기아자동차로,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
은척 하흘  185-1~하흘리 4일원,36.520158,128.085439,36.517730,128.083700,왕벚나무,446,3140,2016,도로 양쪽으로 식재된 왕벚나무가 주변 경관과 어우러져 아름다움,,,은척 하흘,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
구례로선,35.202785,127.464869,35.215863,127.465080,소나무,134,0,2009,구례군 가로수길,"구례로, 서시천로",지방도,군청~공설운동장,061-780-2554,구례군청(산림소득과),2020-07-01,4870000,전라남도 구례군
간전매재길,35.129305,127.544242,35.119293,127.526618,아그배,677,0,2015,구례군 가로수길,황현로,지방도,효곡저수지~매재,061-780-2554,구례군청(산림소득과),2020-07-01,4870000,전라남도 구례군
연곡사선,35.200890,127.601800,35.264680,127.583900,단풍나무,937,0,1985,구례군 가로수길,피아골로,지방도,토지외곡~내동,061-780-2554,구례군청(산림소득과),2020-07-01,4870000,전라남도 구례군
간전중앙로,35.159872,127.545090,35.143335,127.540979,배롱나무,186,0,2018,구례군 가로수길,간전중앙로,지방도,지역아동~효곡교회,061-780-2554,구례군청(산림소득과),2020-07-01,4870000,전라남도 구례군
계산선,35.166891,127.453473,35.226989,127.368868,왕벚나무,2711,0,1992,구례군 가로수길,섬진강로,군도,구례신월~논곡,061-780-2554,구례군청(산림소득과),2020-07-01,4870000,전라남도 구례군
동해선,35.192560,127.482400,35.171340,127.469500,왕벚나무,577,0,1994,구례군 가로수길,동해벚꽃로,군도,문척구성~죽마,061-780-2554,구례군청(산림소득과),2020-07-01,4870000,전라남도 구례군
온천선,35.309800,127.432000,35.321290,127.466700,산수유나무,964,0,2007,구례군 가로수길,지리산온천로,군도,온천입구~당동,061-780-2554,구례군청(산림소득과),2020-07-01,4870000,전라남도 구례군
화성방조제,37.111944,126.684167,37.08450034,126.756944,느티나무,532,6.2,,느티나무,화성방조제,,화성방조제,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
화성방조제,37.111944,126.684167,37.08450034,126.756944,팽나무,755,6.2,,팽나무,화성방조제,,화성방조제,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
화성방조제,37.111944,126.684167,37.08450034,126.756944,해송,697,6.2,,해송,화성방조제,,화성방조제,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
버들로,37.117222,126.817778,37.117222,126.825556,은행나무,44,0.3,,은행나무,버들로,,버들로,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을A,37.126667,126.796111,37.12291633,126.795278,은행나무,8,0.5,,은행나무,우정문화마을A,,우정문화마을A,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을A,37.126667,126.796111,37.12291633,126.795278,느티나무,25,0.5,,느티나무,우정문화마을A,,우정문화마을A,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을B,37.121944,126.793611,37.125556,126.794722,청단풍,11,0.4,,청단풍,우정문화마을B,,우정문화마을B,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을B,37.121944,126.793611,37.125556,126.794722,벚나무,29,0.4,,벚나무,우정문화마을B,,우정문화마을B,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을C,37.12654201,126.795278,37.139167,126.794167,은행나무,5,0.1,,은행나무,우정문화마을C,,우정문화마을C,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을C,37.12654201,126.795278,37.139167,126.794167,벚나무,19,0.1,,벚나무,우정문화마을C,,우정문화마을C,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을D,37.12147395,126.7927953,37.126111,126.795278,은행나무,4,0.1,,은행나무,우정문화마을D,,우정문화마을D,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을E,37.123889,126.793611,37.123889,126.794722,벚나무,2,0.2,,벚나무,우정문화마을E,,우정문화마을E,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을F,37.123889,126.793611,37.123889,126.794722,감나무,3,0.5,,감나무,우정문화마을F,,우정문화마을F,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을F,37.123889,126.793611,37.163889,126.930278,은행나무,4,0.5,,은행나무,우정문화마을F,,우정문화마을F,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
우정문화마을G,37.124167,126.794444,37.124167,126.794444,벚나무,1,0.3,,벚나무,우정문화마을G,,우정문화마을G,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
기아자동차로,37.027831,126.8151509,37.033786,126.7671752,느티나무,172,0.6,,느티나무,기아자동차로,,기아자동차로,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
기아자동차로,37.027831,126.8151509,37.033786,126.7671752,둥근소나무,31,0.6,,둥근소나무,기아자동차로,,기아자동차로,031-369-6126,화성시청 산림녹지과,2019-05-02,5530000,경기도 화성시
공검면 역곡리,36.533240,128.170374,36.535290,128.171150,왕벚나무,145,800,2009,양쪽에 왕벚나무가 조성되어 있어 벚꽃이 피면 장관임,,,공검면 역곡리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
공검면 역곡리,36.529754,128.172018,36.532630,128.170330,왕벚나무,56,300,2009,양쪽에 왕벚나무가 조성되어 있어 벚꽃이 피면 장관임,,,공검면 역곡리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
공성교-공성보건소,36.285066,128.092710,36.286200,128.091460,왕벚나무,107,500,2002,벚꽃이 아름답게 봄의 정취를 느끼게 함,,,공성교-공성보건소,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
공성농협 농기계수리~모동면계(천지상판휴게소),38.282608,128.088689,36.296940,128.018680,왕벚나무,1272,8800,2002,벚꽃이 아름답게 봄의 정취를 느끼게 함,,,공성농협 농기계수리~모동면계(천지상판휴게소),054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
낙동 운평리,36.369336,128.227130,36.704550,128.232860,산수유,70,700,2014,봄이면 노란 산수유가 피어 아름다운 경치를 이룸,,,낙동 운평리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
상주여자중학교내,36.410897,128.160372,36.411600,128.159940,소나무,24,140,2015,도심 속 곧게 뻗은 소나무가 좋은 경치를 자아냄,,,상주여자중학교내,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
상영초등학교내,36.409130,128.160520,36.408530,128.160050,소나무,24,140,2015,도심 속 곧게 뻗은 소나무가 좋은 경치를 자아냄,,,상영초등학교내,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
삼백주유소~무양청사사거리,36.400117,128.149634,36.416190,128.151300,이팝나무,266,1600,,이팝나무가 양쪽으로 식재,,,삼백주유소~무양청사사거리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
삼백주유소~무양청사사거리,36.399695,128.149616,36.416190,128.151300,조형소나무,87,1600,,조형 소나무가 잘 가꿔져 있어  깔끔한 모습임,,,삼백주유소~무양청사사거리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
화개교~상주원예농협,36.418842,128.185701,36.416160,128.172640,메타세쿼이아,147,900,,양쪽으로 쭉쭉 뻗은 메타세콰이어 가로수길이 명품임,,,화개교~상주원예농협,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
좌수영로 179번길,35.179969,129.116667,35.179556,129.115585,이팝나무,28,100,,이팝나무길,좌수영로 179번길,구도,코스트코앞~좌수영로경계,051-610-4531,수영구청,2020-01-29,3380000,부산광역시 수영구
모서-황간경계 ~ 모서면 호음리 일원,36.277952,127.860413,36.319103,127.885604,이팝나무,640,5500,2019,이팝나무가 양쪽으로 식재,,,모서-황간경계 ~ 모서면 호음리 일원,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
현대자동차상주삼백대리점 ~ 무양동 20-3 일원,36.418367,128.150427,36.418305,128.147870,감나무,36,250,2019,양쪽에 감나무가 식재되어 있어 가을이되면  가을 정취를 흠씬 느낄 수 있음,,,상주삼백현대차대리점 ~ 무양동 20-3 일원,054-537-7531,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
공검면 화동리,36.517626,128.167672,36.518454,128.172193,배롱나무,80,550,2019,배롱나무 길을 조성하여 경관이 좋음,,,공검면 화동리,054-537-7532,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
함창 신흥리,36.550302,128.178487,36.546001,128.192552,왕벚나무,288,2070,2020,이안천을 따라 조성된 벚꽃길,,,함창 신흥리,054-537-7530,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
이안면 문창리,36.588971,128.132867,36.583894,128.136841,왕벚나무,65,700,2020,소하천을 따라 조성된 벚꽃길,,,이안면 문창리,054-537-7531,경상북도 상주시청,2020-07-13,5110000,경상북도 상주시
가양로,35.202893,128.697101,35.210037,128.710382,은행나무,309,1.627,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,가양로,,남산 삼거리 ~ 안남초등학교,055-272-4503,경상남도 창원시 성산구청,2020-07-14,5670000,경상남도 창원시
가음로,35.211500,128.697260,35.203560,128.704217,은행나무,344,1.25,,도로 좌우쪽으로 은행나무가 심겨져 있어 아름다운 경관 연출,가음로,,남양 삼거리 ~ 남창원농협 주유소,055-272-4503,경상남도 창원시 성산구청,2020-07-14,5670000,경상남도 창원시
가음정로,35.208013,128.687989,35.210796,128.690524,은행나무+왕벚나무,574,2.055,,도로 좌우쪽으로 은행나무와 왕벚나무가 심겨져 있어 아름다운 경관 연출,가음정로,,기업사랑공원 ~ 남정 초등학교,055-272-4503,경상남도 창원시 성산구청,2020-07-14,5670000,경상남도 창원시
공단로,35.189416,128.693294,35.213858,128.650605,은행나무+해송,1122,8.596,,도로 좌우쪽으로 은행나무와 해송이 심겨져 있어 아름다운 경관 연출,공단로,,성주사역 ~ 효성공장,055-272-4503,경상남도 창원시 성산구청,2020-07-14,5670000,경상남도 창원시
국도25호선,35.231770,128.703437,35.206101,128.711441,왕벚나무,950,5.2,,도로 좌우쪽으로 왕벚나무가 심겨져 있어 아름다운 경관 연출,국도25호선,,토월 IC ~ 대방 IC,055-272-4503,경상남도 창원시 성산구청,2020-07-14,5670000,경상남도 창원시
