가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재년도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자
미사강변서로,37.566400,127.182400,37.553500,127.183800,느티나무,,1.51,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1055-풍산동 491,,경기도 하남시청,2020-05-06
미사강변대로,37.577800,127.179800,37.550700,127.185700,느티나무+은행나무,,3.34,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있고 은행나무 식재로 가을에 노란단풍을 볼 수있음,,,선동 416-풍산동 495,,경기도 하남시청,2020-05-06
아리수로,37.566600,127.180300,37.565900,127.196500,왕벚나무,,1.57,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,망월동 1039  -망월동 943-1,,경기도 하남시청,2020-05-06
미사강변동로,37.570500,127.189600,37.555900,127.191700,왕벚나무,,1.45,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,망월동 944 - 망월동 1122,,경기도 하남시청,2020-05-06
미사강변중앙로,37.566700,127.188700,37.547200,127.192300,느티나무,,1.80,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1078  -풍산동 604,,경기도 하남시청,2020-05-06
미사강변중앙로218번길,37.566100,127.189100,37.566500,127.191200,느티나무,,0.20,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1082,,경기도 하남시청,2020-05-06
미사강변중앙로204번길,37.565000,127.189800,37.566000,127.190600,느티나무,,0.14,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1092,,경기도 하남시청,2020-05-06
미사강변중앙로198번길,37.564200,127.189800,37.564800,127.192000,느티나무,,0.21,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1097,,경기도 하남시청,2020-05-06
미사강변중앙로170번길,37.562100,127.190900,37.562500,127.192600,느티나무,,0.14,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1107,,경기도 하남시청,2020-05-06
미사강변중앙로158번길,37.561000,127.191300,37.561400,127.193200,느티나무,,0.15,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1118,,경기도 하남시청,2020-05-06
미사강변동로78번길,37.562200,127.193600,37.562500,127.195000,느티나무,,0.29,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1133,,경기도 하남시청,2020-05-06
미사강변동로110번길,37.564800,127.192200,37.566100,127.196600,느티나무,,0.41,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,망월동 1124,,경기도 하남시청,2020-05-06
미사강변남로,37.560000,127.187800,37.563900,127.199600,왕벚나무,,1.45,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,망월동 1070 -망월동 1160-1,,경기도 하남시청,2020-05-06
감초로,37.545300,127.173200,37.514600,127.156700,왕벚나무,,3.75,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,초이동 173-5 - 감북동 371-28,,경기도 하남시청,2020-05-06
호수로,37.62634903,126.8236786,37.67394655,126.7401156,"살구나무, 중국단풍",2236,9244,1990,"덕양, 일산동·서구를 잇는 가로수길",호수로,지방도,"덕양구, 일산동구, 일산서구",031-8075-5257,"덕양구, 일산동구, 일산서구",2020-05-29
호국로,37.65581067,126.8326013,37.61081603,126.8206969,느티나무,954,6000,1990,자유로에서 연결되는 가로수길,호국로,지방도,덕양구,031-8075-5257,덕양구,2020-05-29
덕풍로,37.548395,127.212243,37.555337,127.198031,왕벚나무,,1.51,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,나룰초 ~ 풍산초,,경기도 하남시청,2020-05-06
중앙로,37.59152639,126.8819259,37.6795408,126.7397447,"느티나무, 벚나무, 은행나무",2792,22148,1990,"덕양, 일산동·서구를 잇는 가로수길",중앙로,지방도,"덕양구, 일산동구, 일산서구",031-8075-5257,"덕양구, 일산동구, 일산서구",2020-05-29
경의로,37.68697469,126.7592244,37.64542747,126.8010792,느티나무,1494,7144,1990,일산동·서구를 잇는 가로수길,경의로,지방도,"일산동구, 일산서구",031-8075-6265,"일산동구, 일산서구",2020-05-29
백마로,37.66091777,126.7920392,37.64218769,126.7595504,느티나무,782,3500,1990,일산동구지역 중심도로 가로수길,백마로,지방도,일산동구,031-8075-6265,일산동구,2020-05-29
고봉로,37.69911736,126.7810697,37.66339458,126.7629161,"버즘나무, 은행나무, 느티나무",1070,3500,1990,일산서구지역 중심도로 가로수길,고봉로,지방도,일산서구,031-8075-7262,일산서구,2020-05-29
안성맞춤대로,37.00420004,127.2684477,37.00298073,127.2679987,복자기,11,0.66,2013,안성맞춤대로,,,인지사거리~안성대교,031-678-5392,경기도 안성시청,2019-03-31
알미산로,37.00133824,127.2588811,37.00086305,127.2506378,왕벚나무,80,0.7,2015,알미산로,,,안성소방서~옥산대교,031-678-5392,경기도 안성시청,2019-03-31
알미산로,36.99794401,127.2507451,36.99238616,127.2684708,목백합,258,2,2015,알미산로,,,안성경찰서~계동,031-678-5392,경기도 안성시청,2019-03-31
진안로,37.00432405,127.2904015,37.00211031,127.3186684,메타세콰이어,50,0.3,2015,진안로,,,진안로~진안로,031-678-5392,경기도 안성시청,2019-03-31
장기로,37.0072655,127.2657779,37.00522269,127.2794942,청단풍나무,20,0.12,2016,장기로,,,내혜홀광장~봉산로터리,031-678-5392,경기도 안성시청,2019-03-31
강변남로,37.00166458,127.2679214,37.00097575,127.2702088,느티나무,25,0.24,2017,강변남로,,,안성대교~안성교,031-678-5392,경기도 안성시청,2019-03-31
당목길,37.0158395,127.2708424,37.02059582,127.2735054,산벚나무,97,0.6,1999,당목길,,,솔밭공원앞~안청중입구,031-678-5392,경기도 안성시청,2019-03-31
"당왕,고수,대학로",37.0091498,127.2644676,37.01524922,127.251261,느티나무,602,2.2,1999,"당왕,고수,대학로",,,한경대후문~농심사거리,031-678-5392,경기도 안성시청,2019-03-31
서동대로,37.02107292,127.2430899,37.02170663,127.270955,회화나무,450,2.8,2004,서동대로,,,대덕터널~비봉터널,031-678-5392,경기도 안성시청,2019-03-31
안성맞춤대로,37.02596103,127.2667222,37.02572958,127.2834482,은행나무,476,5.6,2004,안성맞춤대로,,,금석동~대덕경계,031-678-5392,경기도 안성시청,2019-03-31
알미산로,37.01214985,127.2499204,37.00223491,127.2495458,백합나무,300,2,2008,알미산로,,,1공단 사거리~안성결찰서,031-678-5392,경기도 안성시청,2019-03-31
안성맞춤대로,37.0109886,127.2703942,37.00787377,127.2694351,복자기,11,0.7,2013,안성맞춤대로,,,금산로터리~광신사거리,031-678-5392,경기도 안성시청,2019-03-31
남파로,37.00648887,127.2787632,37.00785998,127.277503,단풍나무,3,1,2017,남파로,,,봉산로터리~안성시청 후문,031-678-5392,경기도 안성시청,2019-03-31
만수로,37.02572958,127.2834482,37.02572958,127.2834482,은행나무,143,0.9,2004,만수로,,,부영아파트~덕봉서원로,031-678-5392,경기도 안성시청,2019-03-31
양기길,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,60,0.2,2012,양기길,,,롯데마트~송정아파트,031-678-5392,경기도 안성시청,2019-03-31
만수로,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,120,1,2012,만수로,,,국도38호선~부영아파트,031-678-5392,경기도 안성시청,2019-03-31
벚꽃길,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,39,0.5,2012,벚꽃길,,,국도38호선~산수화아파트,031-678-5392,경기도 안성시청,2019-03-31
"난촌길, 불당길",37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,90,0.54,2016,"난촌길, 불당길",,,난촌길~불당길,031-678-5392,경기도 안성시청,2019-03-31
신두만곡로,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,50,0.3,2016,신두만곡로,,,소신두마을 진입로~한천교,031-678-5392,경기도 안성시청,2019-03-31
이전봉산길,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,294,1.8,2004,이전봉산길,,,이전리~꼴미,031-678-5392,경기도 안성시청,2019-03-31
보개원삼로,37.02572958,127.2834482,37.02572958,127.2834482,회화나무,434,3.4,2005,보개원삼로,,,남풍교~용인경계,031-678-5392,경기도 안성시청,2019-03-31
내방상삼로,37.02572958,127.2834482,37.02572958,127.2834482,왕벚나무,220,2,2005,내방상삼로,,,내방교~거리실,031-678-5392,경기도 안성시청,2019-03-31
보개산로,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,485,5,2005,보개산로,,,곡천리~북좌리,031-678-5392,경기도 안성시청,2019-03-31
남사당로,37.02572958,127.2834482,37.02572958,127.2834482,이팝나무,155,1.5,2006,남사당로,,,보평교~오두리,031-678-5392,경기도 안성시청,2019-03-31
충장로,37.65324766,126.8426246,37.61279985,126.8341475,"느티나무, 은행나무, 소나무",1598,4800,1990,덕양지역 동축도로 가로수길,충장로,지방도,덕양구,031-8075-5257,덕양구,2020-05-29
화중로,37.64810114,126.8346356,37.62749111,126.8283148,"은행나무, 중국단풍",465,2400,1990,덕양지역 중심도로 가로수길,화중로,지방도,덕양구,031-8075-5257,덕양구,2020-05-29
군도4호,37.427722,127.538361,37.419126,127.610932,벚나무+산수유나무+이팝나무,,7.2,,산수유축제로 유명한 개군면을 지나는 가로수길로 꽃이 피는 봄철 경관도 아름답지만 열매가 맺히는 가을철 경관 또한 아름다움.,,,개군부~지평곡수,031-770-2415,양평군청(산림과),2020-06-12
군도5호,37.487856,127.593652,37.534187,127.595311,은행나무+벚나무+이팝나무,,6.4,,"1,000년 은행나무로 유명한 용문사 진입로로 은행나무가 좌우에 식재되어 있음.",,,용문다문~용문신점,031-770-2415,양평군청(산림과),2020-06-12
군도6호,37.481496,127.501934,37.465781,127.525396,살구나무,,3,,옛날 구도로변에 조성된 가로수길,,,양평창대~양평회현,031-770-2415,양평군청(산림과),2020-06-12
양평읍 내 공흥로,37.493941,127.499984,37.490863,127.498418,은행나무,,0.4,,양평읍 시내를 관통하는 주요도로로 좌우측 인도변 은행나무가 식재되어 있음.,,,양평공흥~양평양근,031-770-2415,양평군청(산림과),2020-06-12
양평읍 내 관문길22번길,37.491776,127.493356,37.495167,127.496225,이팝나무,,0.5,,"양일중,고등학교를 지나는 도로 인도변에 이팝나무가 식재되어 있음.",,,양평양근~양평공흥,031-770-2415,양평군청(산림과),2020-06-12
양평읍 내 시장주차장옆길,37.491725,127.493335,37.492881,127.494296,이팝나무,,0.2,,양평역 2번출구 앞 인도변에 이팝나무가 식재되어 있음.,,,양평양근~양평양근,031-770-2415,양평군청(산림과),2020-06-12
양평읍 내 군청앞길,37.490795,127.487527,37.492549,127.491132,은행나무,,0.4,,양평역 1번출구~군청 앞 인도변에 은행나무가 식재되어 있음.,,,양평양근~양평양근,031-770-2415,양평군청(산림과),2020-06-12
초일로,37.542406,127.175541,37.538727,127.182681,왕벚나무,,0.76,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,202항공대 입구 ~ 항공대@ 관사,,경기도 하남시청,2020-05-06
풍초로,37.538728,127.182691,37.532745,127.184122,왕벚나무,,0.69,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,항공대'@ 관사 ~ 상화울,,경기도 하남시청,2020-05-06
초이로,37.544619,127.172092,37.531525,127.172323,왕벚나무,,1.58,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,초이동 435-3 ~ 초이동 556-2,,경기도 하남시청,2020-05-06
고골로,37.525221,127.198351,37.496599,127.190174,은행나무+감나무,,3.40,,은행나무 식재로 가을에 노란단풍을 볼 수 있음,,,향교 삼거리 ~ 고골 종점,,경기도 하남시청,2020-05-06
덕산로,37.531985,127.201809,37.546358,127.192249,느티나무+왕벚나무+목련,,2.01,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,쌈지공원 ~ 한솔리치빌 ~ 공영사 입구,,경기도 하남시청,2020-05-06
천현로,37.534355,127.213489,37.534646,127.225678,이팝나무,,1.54,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,천현동 106-3 ~ 창우동 534-1,,경기도 하남시청,2020-05-06
검단로,37.522421,127.221456,37.521733,127.229487,은행나무,,0.69,,은행나무 식재로 가을에 노란단풍을 볼 수 있음,,,등기소 교차로 ~ 풋살경기장,,경기도 하남시청,2020-05-06
미사동로,37.569235,127.197456,37.570507,127.201024,왕벚나무,,0.31,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,미사로 ~ 미사동 마을입구,,경기도 하남시청,2020-05-06
샘재길,37.522466,127.199934,37.531725,127.217311,살구나무,,1.85,,살구나무 식재로 봄에 아름다운 살구꽃길을 걸을 수 있음,,,천현동 597 ~ 천현동 429-7,,경기도 하남시청,2020-05-06
덕풍천동로,37.540838,127.217318,37.548368,127.219188,왕벚나무,,0.86,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,한국'@ ~ 미사로,,경기도 하남시청,2020-05-06
덕풍천서로,37.540826,127.216434,37.548668,127.218398,왕벚나무,,0.86,,왕벚나무 식재로 봄에 아름다운 벚꽃길을 거닐 수 있음,,,덕풍3교 ~ 미사로,,경기도 하남시청,2020-05-06
신장동로 140번길,37.542985,127.219489,37.542997,127.222683,이팝나무,,0.29,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,대명'@ ~ 회센터,,경기도 하남시청,2020-05-06
신장동로,37.542888,127.207513,37.539959,127.222662,느티나무,,2.03,,느티나무 식재로 여름에 푸르른 녹음을 즐길 수 있음,,,신장동 422-9 ~ 창우동 524,,경기도 하남시청,2020-05-06
하남대로 776번길,37.539734,127.211078,37.541348,127.216269,이팝나무,,0.33,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,벽산블루밍더클래식'@ ~ 현대베스코아,,경기도 하남시청,2020-05-06
대청로21번길,37.541594,127.213499,37.540558,127.214464,이팝나무,,0.49,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,NH농협 - KB국민은행,,경기도 하남시청,2020-05-06
대청로22번길,37.540424,127.214626,37.538073,127.217361,이팝나무,,0.34,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,하남시청 농구장 옆 ~ 어린이3호(꿈동산공원),,경기도 하남시청,2020-05-06
대청로116번길,37.536294,127.222142,37.539329,127.225065,이팝나무,,0.42,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,하남초 ~ 하남경영고,,경기도 하남시청,2020-05-06
대청로116번길,37.538502,127.224821,37.537739,127.226295,이팝나무,,0.15,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,하남경영고 뒤쪽 ~ 꿈동산신안@ 416동,,경기도 하남시청,2020-05-06
대청로59번길,37.540649,127.218893,37.543273,127.219478,이팝나무,,0.31,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,완충6호 옆 NH농협 ~ 신장중,,경기도 하남시청,2020-05-06
신장동로,37.539955,127.222649,37.542828,127.222812,이팝나무,,0.34,,이팝나무 식재로 봄에 아름다운 하얀꽃을 볼 수 있음,,,창우초 ~ 대명강변타운 117동,,경기도 하남시청,2020-05-06
덕풍동로,37.543045,127.206982,37.550538,127.208528,은행나무,,1.03,,은행나무 식재로 가을에 노란단풍을 볼 수 있음,,,하남역사박물관 ~ 새뜰휴먼시아 301동,,경기도 하남시청,2020-05-06
